ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,fuel_system,transmission,drive_type,fuel_consumption,brand,grade,year_of_manufacture,car_name,price (AUD)
174951,Domestic assembly,New car,Van/Minivan,0 Km,White,Cream,4-door,7-seat,"Diesel	2.2 L",TDCi,Manual,RFD - Rear-wheel drive,"9	L/100Km",Ford,Transit,2023,Ford Transit Ambulance 2023,38056.76491
182003,Domestic assembly,New car,Crossover,0 Km,Silver,gray,5-door,8-seat,"Petrol	2.0 L",,Manual,RFD - Rear-wheel drive,L/100Km,Toyota,Innova,2022,Toyota Innova E 2.0 MT 2022,30364.44008
182298,Imported,New car,SUV,0 Km,White,Cream,5-door,5-seat,"Petrol	2.7 L",VVTi,Automatic,4WD - Four-wheel drive (4WD),"10	L/100Km",Toyota,Prado,2022,Toyota Prado VX 2.7L 2022,80971.8402
183963,Domestic assembly,New car,Sedan,0 Km,White,Yellow,4-door,5-seat,"Petrol	1.5 L",Multi-point electronic fuel injection,Automatic,FWD - Front-wheel drive,"6	L/100Km",Toyota,Vios,2022,Toyota Vios E CVT 2022,21943.3687
203337,Imported,New car,SUV,0 Km,White,Black,5-door,7-seat,"Diesel	2.0 L",Single turbo oil injection,Automatic,RFD - Rear-wheel drive,"7	L/100Km",Ford,Everest,2023,Ford Everest Ambiente 2.0L 4x2 AT 2023,40485.92011
211394,Imported,New car,Hatchback,0 Km,Red,Cream,5-door,5-seat,"Petrol	1.5 L",,Automatic,FWD - Front-wheel drive,L/100Km,Toyota,Yaris,2022,Toyota Yaris G 1.5 AT 2022,26315.84807
304604,Domestic assembly,New car,Sedan,0 Km,Black,Cream,4-door,5-seat,"Petrol	1.5 L",VVTI,Automatic,FWD - Front-wheel drive,"6	L/100Km",Toyota,Vios,2022,Toyota Vios G 1.5 CVT 2022,23967.66471
449343,Domestic assembly,New car,SUV,0 Km,White,Black,5-door,7-seat,"Petrol	2.0 L",Multi-point electronic fuel injection,Automatic,FWD - Front-wheel drive,"8	L/100Km",Mitsubishi,Outlander,2022,Mitsubishi Outlander 2.0 CVT 2022,33400.88409
449349,Domestic assembly,New car,SUV,0 Km,Silver,Black,5-door,7-seat,"Petrol	1.5 L",Electronic fuel injection,Manual,FWD - Front-wheel drive,"6	L/100Km",Mitsubishi,Xpander,2022,Mitsubishi Xpander 1.5 MT 2022,22469.68566
485640,Domestic assembly,New car,SUV,0 Km,White,Black,5-door,7-seat,"Diesel	2.4 L",,Automatic,RFD - Rear-wheel drive,L/100Km,Toyota,Fortuner,2022,Toyota Fortuner 2.4G 4x2 AT Legender 2022,40485.92011
485669,Domestic assembly,New car,Crossover,0 Km,White,Brown,5-door,8-seat,"Petrol	2.0 L",,Manual,RFD - Rear-wheel drive,L/100Km,Toyota,Innova,2022,Toyota Innova E 2.0 MT 2022,30566.86968
485675,Domestic assembly,New car,Crossover,0 Km,Silver,Brown,5-door,8-seat,"Petrol	2.0 L",,Manual,RFD - Rear-wheel drive,L/100Km,Toyota,Innova,2022,Toyota Innova E 2.0 MT 2022,30566.86968
485696,Imported,New car,SUV,0 Km,Black,gray,5-door,7-seat,"Petrol	2.7 L",,Automatic,4WD - Four-wheel drive (4WD),L/100Km,Toyota,Prado,2022,Toyota Prado VX 2.7L 2022,80971.8402
515018,Imported,New car,Truck,0 Km,White,gray,2-door,2-seat,"Diesel	11.1 L",Turbocharger is very fuel efficient,Manual,4WD - Four-wheel drive (4WD),L/100Km,Hyundai,HD,2017,Hyundai HD 320 2017 car,40485.92011
531808,Imported,New car,SUV,0 Km,White,Yellow,5-door,7-seat,"Petrol	2.0 L",,Automatic,AWD - 4-wheel drive (AWD),L/100Km,Volvo,XC90,2023,Volvo XC90 Inscription B6 AWD 2023,161943.6805
560029,Imported,New car,Truck,0 Km,White,Cream,2-door,3-seat,Diesel,Powerful turbocharger saves fuel,Manual,RFD - Rear-wheel drive,L/100Km,Isuzu,QKR,2022,Isuzu QKR IZ65 2t5-3t5 BAT 2022,17611.37525
587030,Imported,New car,Truck,0 Km,White,Cream,2-door,3-seat,Diesel,Powerful turbocharger saves fuel,Manual,RFD - Rear-wheel drive,L/100Km,Hyundai,HD,2022,Hyundai HD Ben 15 Ton 2022,40485.92011
694755,Domestic assembly,New car,Sedan,0 Km,Brown,Black,4-door,5-seat,"Petrol	1.5 L",,Automatic,FWD - Front-wheel drive,L/100Km,Honda,City,2023,Honda City RS 1.5 AT 2023 car,24251.06615
698859,Imported,New car,Truck,0 Km,White,Cream,2-door,3-seat,Diesel, Turbocharger Saves Fuel,Manual,RFD - Rear-wheel drive,L/100Km,Daewoo,Novus,2022,Daewoo Novus BEN 15 Ton 2022,40485.92011
747206,Domestic assembly,New car,Sedan,0 Km,White,Black,4-door,5-seat,"Petrol	1.5 L",Electronic fuel injection,Manual,FWD - Front-wheel drive,"5	L/100Km",Toyota,Vios,2023,Toyota Vios E 1.5 MT 2023,19797.61493
960975,Imported,New car,SUV,0 Km,Green,Brown,5-door,7-seat,"Petrol	2.0 L",,Automatic,AWD - 4-wheel drive (AWD),L/100Km,Volvo,XC90,2023,Volvo XC90 Inscription B6 AWD 2023,161943.6805
1116138,Imported,New car,SUV,0 Km,Black,Black,5-door,4-seat,"Petrol	2.0 L",Electronic fuel injection,Automatic,AWD - 4-wheel drive (AWD),"15	L/100Km",Mercedes Benz,Maybach,2022,Mercedes Benz Maybach GLS480 2022,323887.3609
1126086,Domestic assembly,New car,Crossover,0 Km,Red,Brown,5-door,8-seat,"Petrol	2.0 L",,Automatic,RFD - Rear-wheel drive,L/100Km,Toyota,Innova,2022,Toyota Innova Venturer 2.0 AT 2022,35830.0393
1168135,Domestic assembly,New car,Crossover,0 Km,Take note,Black,5-door,8-seat,"Petrol	2.0 L",,Manual,RFD - Rear-wheel drive,L/100Km,Toyota,Innova,2023,Toyota Innova E 2.0 MT 2023,28947.43288
1185796,Domestic assembly,New car,Truck,0 Km,White,Black,2-door,2-seat,"Petrol	1.0 L",,Manual,RFD - Rear-wheel drive,"7	L/100Km",Suzuki,Super Carry Truck,2023,Suzuki Super Carry Truck Batwing Box 2023,11538.48723
1210562,Imported,New car,Truck,0 Km,White,Cream,2-door,3-seat,Diesel,TURBOCHARGER,Manual,RFD - Rear-wheel drive,L/100Km,Daewoo,Novus,2022,Daewoo Novus Concrete Mixer 2022,40485.92011
1247739,Imported,New car,SUV,0 Km,Red,Black,5-door,5-seat,"Petrol	2.0 L",,Automatic,AWD - 4-wheel drive (AWD),L/100Km,Volvo,V60,2023,Volvo V60 Cross Country B5 AWD 2023,80971.8402
1280936,Imported,New car,Truck,0 Km,White,Cream,2-door,3-seat,Diesel,,Manual,RFD - Rear-wheel drive,L/100Km,Hino,500 Series,2022,Hino 500 Series Maximus 10 Ton 2022,40485.92011
1342584,Imported,New car,SUV,0 Km,Black,Cream,5-door,7-seat,"Petrol	3.0 L",Electronic fuel injection,Automatic,AWD - 4-wheel drive (AWD),"16	L/100Km",Mercedes Benz,GLS,2022,Mercedes Benz GLS 450 4Matic 2022,202429.6005
1342730,Domestic assembly,New car,Sedan,0 Km,Black,Black,4-door,5-seat,"Petrol	1.5 L",Electronic Fuel Injection,Automatic,RFD - Rear-wheel drive,"8	L/100Km",Mercedes Benz,C class,2022,Mercedes Benz C class C200 Avantgarde 2022,40485.92011
1343488,Imported,New car,Van/Minivan,0 Km,Black,Black,5-door,6-seat,"Petrol	2.0 L",Electronic Fuel Injection,Automatic,RFD - Rear-wheel drive,"15	L/100Km",Mercedes Benz,V class,2022,Mercedes Benz V class V250 AMG 2022,121457.7603
1343600,Domestic assembly,New car,SUV,0 Km,White,Brown,4-door,5-seat,"Petrol	2.0 L",Electronic fuel injection,Automatic,AWD - 4-wheel drive (AWD),"10	L/100Km",Mercedes Benz,GLC,2022,Mercedes Benz GLC 300 4Matic 2022,80971.8402
1343791,Imported,New car,Sedan,0 Km,Black,Cream,4-door,4-seat,"Petrol	2.0 L",Electronic fuel injection,Automatic,AWD - 4-wheel drive (AWD),"15	L/100Km",Mercedes Benz,Maybach,2022,Mercedes Benz Maybach S450 2022,323887.3609
1347208,Imported,New car,Sedan,0 Km,Black,Brown,4-door,5-seat,"Petrol	3.0 L",electronic fuel injection,Automatic,RFD - Rear-wheel drive,"15	L/100Km",Mercedes Benz,S class,2022,Mercedes Benz S class S450 Luxury 2022,202429.6005
1393396,Domestic assembly,New car,Sedan,0 Km,Grey,Black,4-door,5-seat,"Petrol	1.5 L",Electronic fuel injection,Automatic,FWD - Front-wheel drive,"6	L/100Km",Mazda,3,2023,Mazda 3 1.5L Premium 2023,29716.66536
1393417,Domestic assembly,New car,Sedan,0 Km,Red,Black,4-door,5-seat,"Petrol	1.5 L",Electronic fuel injection,Automatic,FWD - Front-wheel drive,"6	L/100Km",Mazda,3,2023,Mazda 3 1.5L Deluxe 2023,24453.49575
1394005,Domestic assembly,New car,Hatchback,0 Km,Red,Black,5-door,5-seat,"Petrol	1.5 L",Electronic fuel injection,Automatic,FWD - Front-wheel drive,"6	L/100Km",Mazda,3,2023,Mazda 3 1.5L Sport Premium 2023,29109.37656
1429536,Domestic assembly,New car,Sedan,0 Km,Black,gray,4-door,5-seat,"Petrol	2.0 L",Electronic fuel injection,Manual,FWD - Front-wheel drive,"5	L/100Km",Hyundai,Accent,2023,Hyundai Accent 1.4 MT 2023,17206.51605
1429547,Domestic assembly,New car,SUV,0 Km,Black,Brown,5-door,7-seat,"Petrol	2.5 L",Electronic fuel injection,Automatic,AWD - 4-wheel drive (AWD),"6	L/100Km",Hyundai,SantaFe,2023,Hyundai SantaFe Premium 2.5L HTRAC 2023,40485.92011
1429562,Domestic assembly,New car,Crossover,0 Km,White,Black,5-door,5-seat,"Petrol	2.0 L",Smartstream G2.0,Automatic,FWD - Front-wheel drive,"5	L/100Km",Hyundai,Tucson,2022,Hyundai Tucson 2.0 AT Standard 2022,32064.84873
1429579,Imported,New car,Van/Minivan,0 Km,White,Black,5-door,7-seat,"Petrol	1.5 L",Electronic fuel injection,Automatic,FWD - Front-wheel drive,"5	L/100Km",Hyundai,Stargazer,2022,Hyundai Stargazer Special 1.5 AT 2022,22186.28422
1429653,Imported,New car,Crossover,0 Km,White,Black,5-door,5-seat,"Petrol	1.5 L",Electronic fuel injection,Automatic,FWD - Front-wheel drive,"5	L/100Km",Hyundai,Creta,2022,Hyundai Creta Standard 1.5 AT 2022,22955.5167
1464997,Domestic assembly,New car,Hatchback,0 Km,White,Colorful,5-door,5-seat,"Petrol	1.25 L",Electronic fuel injection,Automatic,FWD - Front-wheel drive,"4	L/100Km",Hyundai,i10,2023,Hyundai i10 1.2 AT 2023 car,16639.71317
1465025,Domestic assembly,New car,Sedan,0 Km,Red,Black,4-door,5-seat,"Petrol	1.6 L",Electronic fuel injection,Automatic,FWD - Front-wheel drive,"5	L/100Km",Hyundai,Elantra,2022,Hyundai Elantra 1.6 AT Special 2022,25101.27047
1465065,Domestic assembly,New car,SUV,0 Km,White,Brown,5-door,7-seat,"Petrol	2.5 L",Electronic fuel injection,Automatic,AWD - 4-wheel drive (AWD),"6	L/100Km",Hyundai,SantaFe,2023,Hyundai SantaFe Premium 2.5L HTRAC 2023,40485.92011
1465078,Domestic assembly,New car,Sedan,0 Km,Red,Black,4-door,5-seat,"Petrol	1.6 L",Electronic fuel injection,Automatic,FWD - Front-wheel drive,"5	L/100Km",Hyundai,Elantra,2023,Hyundai Elantra N-Line 1.6 Turbo AT 2023,31133.67257
1465099,Domestic assembly,New car,SUV,0 Km,White,Brown,5-door,7-seat,"Petrol	2.5 L",Electronic fuel injection,Automatic,FWD - Front-wheel drive,"5	L/100Km",Hyundai,SantaFe,2023,Hyundai SantaFe Standard 2.5L 2023,40485.92011
1465123,Domestic assembly,New car,Hatchback,0 Km,Red,Black,5-door,5-seat,"Petrol	1.25 L",Electronic fuel injection,Automatic,FWD - Front-wheel drive,"5	L/100Km",Hyundai,i10,2023,Hyundai i10 1.2 AT 2023 car,16680.19909
1467840,Imported,New car,Van/Minivan,0 Km,Black,gray,5-door,7-seat,"Petrol	1.5 L",Electronic fuel injection,Automatic,FWD - Front-wheel drive,"5	L/100Km",Hyundai,Stargazer,2022,Hyundai Stargazer Premium 1.5 AT 2022,24493.98167
1508142,Domestic assembly,New car,Truck,0 Km,White,gray,2-door,2-seat,"Petrol	1.0 L",,Manual,RFD - Rear-wheel drive,L/100Km,Suzuki,Super Carry Truck,2021,Suzuki Super Carry Truck 1.0 MT 2021,10080.99411
1519607,Domestic assembly,New car,Crossover,0 Km,White,Black,5-door,5-seat,"Diesel	2.0 L",Electronic oil injection,Automatic,FWD - Front-wheel drive,"5	L/100Km",Hyundai,Tucson,2023,Hyundai Tucson 2.0 AT CRDi Special 2023,40485.92011
1570629,Domestic assembly,New car,Truck,0 Km,White,gray,2-door,2-seat,"Petrol	1.0 L",electronic fuel injection,Manual,RFD - Rear-wheel drive,"6	L/100Km",Suzuki,Super Carry Truck,2022,Suzuki Super Carry Truck 1.0 MT 2022,11417.02947
1570743,Domestic assembly,New car,Truck,0 Km,White,gray,2-door,2-seat,"Petrol	1.0 L",electronic fuel injection,Manual,RFD - Rear-wheel drive,"6	L/100Km",Suzuki,Super Carry Truck,2022,Suzuki Super Carry Truck 1.0 MT 2022,10080.99411
1570896,Domestic assembly,New car,Truck,0 Km,Green,gray,2-door,2-seat,"Petrol	1.0 L",electronic fuel injection,Manual,RFD - Rear-wheel drive,"6	L/100Km",Suzuki,Super Carry Truck,2022,Suzuki Super Carry Truck 1.0 MT Ben 2022,11417.02947
1580673,Domestic assembly,New car,Sedan,0 Km,White,gray,4-door,5-seat,"Petrol	1.4 L",Electronic fuel injection,Automatic,FWD - Front-wheel drive,"5	L/100Km",Hyundai,Accent,2023,Hyundai Accent 1.4 AT Special 2023,20728.79109
1599616,Domestic assembly,New car,Crossover,0 Km,Take note,Sand,5-door,8-seat,"Petrol	2.0 L",,Automatic,RFD - Rear-wheel drive,"9	L/100Km",Toyota,Innova,2023,Toyota Innova 2.0G 2023 car,35222.75049
1625985,Domestic assembly,New car,Crossover,0 Km,Copper,Brown,5-door,8-seat,"Petrol	2.0 L",Electronic fuel injection,Automatic,RFD - Rear-wheel drive,L/100Km,Toyota,Innova,2023,Toyota Innova G 2.0 AT 2023 car,34008.17289
1660868,Domestic assembly,New car,SUV,0 Km,White,Cream,5-door,7-seat,"Petrol	1.5 L",,Automatic,FWD - Front-wheel drive,L/100Km,Honda,CRV,2023,Honda CRV G 2023 car,37368.50426
1668465,Imported,New car,Crossover,0 Km,Grey,Black,5-door,5-seat,"Petrol	1.5 L",Electronic fuel injection,Automatic,FWD - Front-wheel drive,"5	L/100Km",Hyundai,Creta,2022,Hyundai Creta Special 1.5 AT 2022,25020.29863
1733151,Domestic assembly,New car,Crossover,0 Km,Red,Grey,5-door,8-seat,"Petrol	2.0 L",,Automatic,RFD - Rear-wheel drive,L/100Km,Toyota,Innova,2023,Toyota Innova Venturer 2.0 AT 2023,35830.0393
1736820,Imported,New car,4x4,0 Km,Orange,Black,4-door,5-seat,"Diesel	2.4 L",,Automatic,RFD - Rear-wheel drive,"7	L/100Km",Toyota,Hilux,2023,Toyota Hilux 2.4L 4x2 AT 2023,34494.00393
1784799,Imported,New car,Sedan,0 Km,White,gray,4-door,5-seat,"Petrol	1.4 L",Electronic fuel injection,Automatic,FWD - Front-wheel drive,"5	L/100Km",Suzuki,Ciaz,2022,Suzuki Ciaz 1.4 AT 2022 car,21619.48134
1799555,Imported,New car,Truck,0 Km,White,gray,2-door,2-seat,"Petrol	1.5 L",electronic fuel injection,Manual,RFD - Rear-wheel drive,"6	L/100Km",Suzuki,Carry,2022,Suzuki Carry Pro Sealed Car 2022,13157.92403
1799592,Imported,New car,Truck,0 Km,White,gray,2-door,2-seat,"Petrol	1.5 L",electronic fuel injection,Manual,RFD - Rear-wheel drive,"6	L/100Km",Suzuki,Carry,2022,Suzuki Carry Pro 2022 car,12105.29011
1807887,Imported,New car,SUV,0 Km,White,Black,5-door,7-seat,"Diesel	2.4 L",,Automatic,RFD - Rear-wheel drive,L/100Km,Mitsubishi,Pajero Sport,2023,Mitsubishi Pajero Sport 2.4D 4x2 AT 2023,40485.92011
1875988,Imported,New car,Crossover,0 Km,Red,Black,5-door,5-seat,"Petrol	1.5 L",Electronic fuel injection,Automatic,FWD - Front-wheel drive,"5	L/100Km",Hyundai,Creta,2022,Hyundai Creta Special 1.5 AT 2022,25020.29863
1876186,Imported,New car,Crossover,0 Km,Black,Black,5-door,5-seat,"Petrol	1.5 L",Electronic fuel injection,Automatic,FWD - Front-wheel drive,"5	L/100Km",Hyundai,Creta,2022,Hyundai Creta Special 1.5 AT 2022,25020.29863
1876223,Domestic assembly,New car,Sedan,0 Km,White,gray,4-door,5-seat,"Petrol	1.4 L",Electronic fuel injection,Automatic,FWD - Front-wheel drive,"5	L/100Km",Hyundai,Accent,2023,Hyundai Accent 1.4 AT 2023,18744.98101
1876299,Imported,New car,Crossover,0 Km,Grey,Black,5-door,5-seat,"Petrol	1.5 L",Electronic fuel injection,Automatic,FWD - Front-wheel drive,"5	L/100Km",Hyundai,Creta,2022,Hyundai Creta Premium 1.5 AT 2022,28583.0596
1888442,Domestic assembly,New car,Crossover,0 Km,White,Black,5-door,5-seat,"Petrol	2.0 L",Electronic fuel injection,Automatic,FWD - Front-wheel drive,"5	L/100Km",Hyundai,Tucson,2023,Hyundai Tucson 2.0 AT Special 2023,37570.93386
1939983,Domestic assembly,New car,Sedan,0 Km,White,gray,4-door,5-seat,"Petrol	1.4 L",Electronic fuel injection,Manual,FWD - Front-wheel drive,"4	L/100Km",Hyundai,Accent,2023,Hyundai Accent 1.4 MT Standard 2023,16396.79765
1977257,Domestic assembly,New car,SUV,0 Km,Green,Cream,5-door,5-seat,"Petrol	2.0 L",Direct spray,Automatic,RFD - Rear-wheel drive,"7	L/100Km",Mercedes Benz,GLC,2022,Mercedes Benz GLC 200 2022,40485.92011
2001944,Imported,New car,Hatchback,0 Km,Green,Black,5-door,5-seat,"Petrol	1.2 L",Electronic fuel injection,Automatic,FWD - Front-wheel drive,"4	L/100Km",Suzuki,Swift,2022,Suzuki Swift GLX 1.2 AT 2022 car,22226.77014
2048368,Imported,New car,Hatchback,0 Km,Green,Grey,5-door,5-seat,"Petrol	1.2 L",,Automatic,FWD - Front-wheel drive,L/100Km,Suzuki,Swift,2023,Suzuki Swift GLX 2023 car,22631.62934
2050181,Domestic assembly,New car,Hatchback,0 Km,White,Black,5-door,5-seat,"Petrol	1.5 L",Electronic fuel injection,Automatic,FWD - Front-wheel drive,"6	L/100Km",Mazda,3,2023,Mazda 3 1.5L Sport Luxury 2023,26680.22135
2052733,Imported,New car,Sedan,0 Km,Black,Cream,4-door,5-seat,"Petrol	1.8 L",Electronic fuel injection,Automatic,FWD - Front-wheel drive,"8	L/100Km",Toyota,Corolla altis,2023,Toyota Corolla altis 1.8G 2023,29109.37656
2052839,Domestic assembly,New car,Van/Minivan,0 Km,Yellow,Colorful,4-door,16-seat,"Diesel	2.2 L",Turbo Diesel,Manual,RFD - Rear-wheel drive,"9	L/100Km",Ford,Transit,2023,Ford Transit Standard 2023,34372.54617
2055450,Imported,New car,SUV,0 Km,Red,Brown,5-door,7-seat,"Diesel	2.0 L",Dual turbo oil injection,Automatic,4WD - Four-wheel drive (4WD),"7	L/100Km",Ford,Everest,2023,Ford Everest Titanium Plus 2.0L 4x4 AT 2023,40485.92011
2056515,Imported,New car,Hatchback,0 Km,White,Black,5-door,5-seat,"Petrol	1.2 L",Electronic fuel injection,Manual,FWD - Front-wheel drive,"5	L/100Km",Toyota,Wigo,2023,Toyota Wigo 1.2G MT 2023,14251.04388
2062513,Imported,New car,Hatchback,0 Km,Red,Black,5-door,5-seat,"Petrol	1.2 L",Dual - VVTi,Automatic,FWD - Front-wheel drive,"5	L/100Km",Toyota,Wigo,2023,Toyota Wigo 1.2G AT 2023 car,15587.07924
2094956,Imported,New car,SUV,0 Km,Green,Red,5-door,5-seat,"Petrol	4.0 L",Electronic fuel injection,Automatic,AWD - 4-wheel drive (AWD),"16	L/100Km",Mercedes Benz,G class,2022,Mercedes Benz G class G63 AMG 2022,445345.1212
2112854,Domestic assembly,New car,Sedan,0 Km,White,Brown,4-door,5-seat,"Petrol	1.5 L",Electronic fuel injection,Automatic,RFD - Rear-wheel drive,"10	L/100Km",Mercedes Benz,C class,2022,Mercedes Benz C class C200 Avantgarde Plus 2022,40485.92011
2142752,Domestic assembly,New car,Sedan,0 Km,Red,Black,4-door,5-seat,"Petrol	1.5 L",,Manual,FWD - Front-wheel drive,L/100Km,Toyota,Vios,2023,Toyota Vios E 1.5 MT 2023,19797.61493
2165805,Domestic assembly,New car,SUV,0 Km,White,Black,5-door,5-seat,"Petrol	2.0 L",Skyactive,Automatic,FWD - Front-wheel drive,"7	L/100Km",Mazda,CX5,2023,Mazda CX5 2.0 Deluxe 2023 car,30526.38376
2255425,Domestic assembly,New car,Sedan,0 Km,White,Brown,4-door,5-seat,"Petrol	2.0 L",Electronic fuel injection,Automatic,RFD - Rear-wheel drive,"12	L/100Km",Mercedes Benz,C class,2022,Mercedes Benz C class C300 AMG 2022,80971.8402
2255426,Imported,New car,Sedan,0 Km,Black,Cream,4-door,5-seat,"Petrol	3.0 L",,Automatic,RFD - Rear-wheel drive,"15	L/100Km",Mercedes Benz,S class,2022,Mercedes Benz S class S450 2022,202429.6005
2261455,Imported,Used car,SUV,"78,000 Km",Yellow,Black,5-door,7-seat,"Petrol	3.6 L",,Automatic,AWD - 4-wheel drive (AWD),L/100Km,Audi,Q7,2009,Audi Q7 S-line 3.6 AT 2009,23481.83367
2267738,Imported,New car,SUV,0 Km,White,Black,5-door,7-seat,"Petrol	2.0 L",Electronic fuel injection,Automatic,AWD - 4-wheel drive (AWD),"15	L/100Km",Mercedes Benz,GLB,2022,Mercedes Benz GLB 35 4Matic 2022,80971.8402
2274966,Domestic assembly,New car,Sedan,0 Km,Yellow,Cream,4-door,5-seat,"Petrol	1.5 L",,Automatic,FWD - Front-wheel drive,"6	L/100Km",Toyota,Vios,2023,Toyota Vios G 1.5 CVT 2023,22105.31238
2301154,Domestic assembly,New car,4x4,0 Km,Red,Black,4-door,5-seat,"Diesel	2.0 L",Dual turbo oil injection,Automatic,4WD - Four-wheel drive (4WD),"7	L/100Km",Ford,Ranger,2023,Ford Ranger Wildtrak 2.0L 4x4 AT 2023,39352.31435
2301669,Domestic assembly,New car,Van/Minivan,0 Km,White,Cream,4-door,16-seat,"Diesel	2.2 L",Turbo Diesel,Manual,RFD - Rear-wheel drive,"9	L/100Km",Ford,Transit,2023,Ford Transit Standard 2023,34372.54617
2301707,Imported,New car,SUV,0 Km,White,Black,5-door,7-seat,"Diesel	2.0 L",Dual turbo oil injection,Automatic,4WD - Four-wheel drive (4WD),"9	L/100Km",Ford,Everest,2023,Ford Everest Titanium Plus 2.0L 4x4 AT 2023,40485.92011
2302095,Imported,New car,SUV,0 Km,Green,Black,5-door,5-seat,"Petrol	2.0 L",direct fuel injection,Automatic,AWD - 4-wheel drive (AWD),"9	L/100Km",Subaru,Forester,2022,Subaru Forester 2.0iS EyeSight 2022,40445.43419
2314021,Imported,New car,SUV,0 Km,Copper,Black,5-door,7-seat,"Diesel	2.0 L",Dual turbo oil injection,Automatic,4WD - Four-wheel drive (4WD),"7	L/100Km",Ford,Everest,2023,Ford Everest Titanium Plus 2.0L 4x4 AT 2023,40485.92011
2324881,Domestic assembly,New car,Crossover,0 Km,White,Brown,5-door,8-seat,"Petrol	2.0 L",,Automatic,RFD - Rear-wheel drive,L/100Km,Toyota,Innova,2023,Toyota Innova G 2.0 AT 2023 car,35222.75049
2324982,Imported,New car,Hatchback,0 Km,Red,Cream,5-door,5-seat,"Petrol	1.5 L",,Automatic,FWD - Front-wheel drive,L/100Km,Toyota,Yaris,2023,Toyota Yaris G 1.5 AT 2023,27692.36935
2373043,Domestic assembly,New car,SUV,0 Km,White,Black,5-door,5-seat,"Petrol	2.0 L",SKYACTIV,Automatic,FWD - Front-wheel drive,"6	L/100Km",Mazda,CX5,2023,Mazda CX5 2.0 Luxury 2023 car,32145.82057
2417656,Imported,New car,Sedan,0 Km,Red,Black,4-door,5-seat,"Petrol	1.5 L",,Automatic,FWD - Front-wheel drive,L/100Km,Honda,Civic,2023,Honda Civic RS 1.5 AT 2023,35425.18009
2439373,Domestic assembly,New car,4x4,0 Km,White,Black,4-door,5-seat,"Diesel	2.2 L",Single turbo oil injection,Manual,4WD - Four-wheel drive (4WD),"7	L/100Km",Ford,Ranger,2023,Ford Ranger XL 2.0L 4x4 MT 2023,26680.22135
2446532,Domestic assembly,New car,4x4,0 Km,Black,Black,4-door,5-seat,"Diesel	2.2 L",Single turbo oil injection,Automatic,RFD - Rear-wheel drive,"7	L/100Km",Ford,Ranger,2023,Ford Ranger XLS 2.0L 4x2 AT 2023,27854.31303
